px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor
56.0863	21.0512	2.69761	0.398345	0.037792	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	2.69421	L
56.0539	21.0366	2.67674	0.391944	0.0317378	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.49208	R
58.6413	21.7936	2.7457	0.266209	-0.0698154	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.352335	L
58.6507	21.8003	2.78804	0.269553	-0.0655759	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.0816773	R
60.9331	22.7825	2.54006	0.395681	0.0522388	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	1.21487	L
60.9182	22.7723	2.58117	0.390453	0.0467122	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.6279	R
63.3732	23.4277	2.5808	0.247006	-0.0738453	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.412442	L
63.4368	23.4486	2.6097	0.241495	-0.0804276	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	2.05862	R
66.2655	23.9797	2.93015	0.143247	-0.0868911	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	1.40459	L
66.1609	23.9274	2.65765	0.106193	-0.12943	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	3.26415	R
68.3435	24.3486	2.29752	0.133262	-0.037989	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	1.89501	L
68.426	24.3802	2.43973	0.153849	-0.0185809	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.76001	R
70.8146	24.8721	2.49337	0.213063	0.0306936	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.119238	L
70.7722	24.8566	2.38178	0.202742	0.0192401	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.517759	R
72.9384	24.7606	2.16931	-0.0669558	-0.159608	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	1.61136	L
72.9782	24.779	2.23119	-0.0564594	-0.148697	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.47563	R
